Position,Const,Created,Modified,Description,Name,Known For,Birth Date
562,nm0000110,2014-03-10,2014-03-10,,"Kenneth Branagh","Henry V","December 10, 1960"
563,nm0001579,2014-03-10,2014-03-10,,"Edward James Olmos","Battlestar Galactica","February 24, 1947"
564,nm0001884,2014-03-10,2014-03-10,,"Max von Sydow","Flash Gordon","April 10, 1929"
565,nm0001136,2015-04-03,2015-04-03,,"Bruce Dern","Nebraska","June 4, 1936"
566,nm0001364,2014-03-10,2014-03-10,,"Bob Hoskins","The Long Good Friday","October 26, 1942"
567,nm0000249,2014-03-10,2014-03-10,,"James Woods","Vampires","April 18, 1947"
568,nm0370035,2014-03-10,2014-03-10,,"John Hawkes","The Sessions","September 11, 1959"
569,nm0001258,2014-03-10,2014-03-10,,"James Garner","The Notebook","April 7, 1928"
570,nm0001832,2014-03-10,2014-03-10,,"Sam Waterston","The Killing Fields","November 15, 1940"
571,nm0001371,2014-03-10,2014-03-10,,"Tom Hulce","Amadeus","December 6, 1953"
572,nm0001215,2014-03-10,2014-03-10,,"Albert Finney","Murder on the Orient Express","May 9, 1936"
573,nm0002018,2014-03-10,2014-03-10,,"Tom Conti","Oppenheimer","November 22, 1941"
574,nm0183822,2014-03-10,2014-03-10,,"Tom Courtenay","45 Years","February 25, 1937"
575,nm0001545,2014-03-10,2014-03-10,,"Dudley Moore","Arthur","April 19, 1935"
576,nm0000457,2014-03-10,2014-03-10,,"John Hurt","Nineteen Eighty-Four","January 22, 1940"
577,nm0993507,2014-03-10,2014-03-10,,"Kat Dennings","Nick and Norah's Infinite Playlist","June 13, 1986"
578,nm1231899,2017-09-16,2017-09-16,,"Priyanka Chopra Jonas","Barfi!","July 18, 1982"
579,nm0728938,2014-03-10,2014-03-10,,"Emmanuelle Riva","Amour","February 24, 1927"
580,nm1950086,2014-03-10,2014-03-10,,"Greta Gerwig","Barbie","August 4, 1983"
581,nm0488953,2014-03-10,2014-03-10,,"Brie Larson","Room","October 1, 1989"
582,nm1140300,2014-03-10,2014-03-10,,"Jessica Lucas","The Covenant","September 24, 1985"
583,nm0266029,2014-03-10,2014-03-10,,"Maria Falconetti","La passion de Jeanne d'Arc","July 21, 1892"
584,nm0002093,2014-03-09,2014-03-09,,"Greer Garson","Pride and Prejudice","September 29, 1904"
585,nm0751426,2014-03-10,2014-03-10,,"Rosalind Russell","His Girl Friday","June 4, 1907"
586,nm0000079,2014-03-09,2014-03-09,,"Raquel Welch","The Three Musketeers","September 5, 1940"
587,nm0000400,2014-03-10,2014-03-10,,"Linda Fiorentino","The Last Seduction","March 9, 1958"
588,nm2829737,2014-03-10,2014-03-10,,"Gabourey Sidibe","Precious","May 6, 1983"
589,nm0001114,2014-03-09,2014-03-09,,"Judy Davis","Husbands and Wives","April 23, 1955"
590,nm0001201,2014-03-10,2014-03-10,,"Mia Farrow","Rosemary's Baby","February 9, 1945"
591,nm0851582,2014-03-10,2014-03-10,,"Audrey Tautou","Le fabuleux destin d'Amélie Poulain","August 9, 1976"
592,nm0603402,2014-03-10,2014-03-10,,"Jeanne Moreau","Jules et Jim","January 23, 1928"
593,nm0943837,2014-03-09,2014-03-09,,"Jane Wyman","Stage Fright","January 5, 1917"
594,nm0001687,2014-03-10,2014-03-10,,"Gena Rowlands","The Notebook","June 19, 1930"
595,nm0544334,2014-03-10,2014-03-10,,"Lesley Manville","Phantom Thread","March 12, 1956"
596,nm0647634,2014-03-10,2014-03-10,,"Elizabeth Olsen","Martha Marcy May Marlene","February 16, 1989"
597,nm0000176,2014-03-10,2014-03-10,,"Nastassja Kinski","Tess","January 24, 1961"
598,nm0491259,2014-03-10,2014-03-10,,"Mélanie Laurent","Inglourious Basterds","February 21, 1983"
599,nm0001365,2014-03-10,2014-03-10,,"Whitney Houston","The Bodyguard","August 9, 1963"
600,nm0005031,2014-03-10,2014-03-10,,"Felicity Huffman","Transamerica","December 9, 1962"
601,nm0001767,2014-03-10,2014-03-10,,"Imelda Staunton","Vera Drake","January 9, 1956"
602,nm1209966,2014-03-10,2014-03-10,,"Oscar Isaac","Ex Machina","March 9, 1979"
603,nm1417647,2014-03-10,2014-03-10,,"Jon Heder","Napoleon Dynamite","October 26, 1977"
604,nm1886602,2014-03-10,2014-03-10,,"Miles Teller","Whiplash","February 20, 1987"
605,nm0117709,2014-03-10,2014-03-10,,"Daniel Brühl","Inglourious Basterds","June 16, 1978"
606,nm0001254,2014-03-10,2014-03-10,,"James Gandolfini","The Sopranos","September 18, 1961"
607,nm0430107,2014-03-10,2014-03-10,,"Michael B. Jordan","Black Panther","February 9, 1987"
608,nm0000578,2014-03-10,2014-03-10,,"Anthony Perkins","Psycho","April 4, 1932"
609,nm0000667,2014-03-10,2014-03-10,,"David Thewlis","Naked","March 20, 1963"
610,nm0001428,2014-03-10,2014-03-10,,"Klaus Kinski","Nosferatu - Phantom der Nacht","October 18, 1926"
611,nm0000532,2014-03-10,2014-03-10,,"Malcolm McDowell","A Clockwork Orange","June 13, 1943"
612,nm0935653,2014-03-10,2014-03-10,,"Ray Winstone","The Departed","February 19, 1957"
613,nm0000901,2014-03-10,2014-03-10,,"Jean-Paul Belmondo","Pierrot le fou","April 9, 1933"
614,nm0785227,2014-03-10,2014-03-10,,"Andy Serkis","War for the Planet of the Apes","April 20, 1964"
615,nm0000111,2014-03-10,2014-03-10,,"Matthew Broderick","The Producers","March 21, 1962"
616,nm0000454,2014-03-10,2014-03-10,,"Dennis Hopper","Easy Rider","May 17, 1936"
617,nm0740264,2014-03-10,2014-03-10,,"Michael Rooker","Guardians of the Galaxy","April 6, 1955"
618,nm0001252,2014-03-10,2014-03-10,,"Vincent Gallo","Buffalo '66","April 11, 1961"
619,nm0000228,2014-03-09,2014-03-09,,"Kevin Spacey","L.A. Confidential","July 26, 1959"
620,nm0001993,2014-03-10,2014-03-10,,"Vincent Cassel","L'ennemi public n°1","November 23, 1966"
621,nm0799777,2015-03-08,2015-03-08,,"J.K. Simmons","Whiplash","January 9, 1955"
622,nm0000472,2014-03-10,2014-03-10,,"Boris Karloff","The Bride of Frankenstein","November 23, 1887"
623,nm0000048,2014-03-10,2014-03-10,,"Peter Lorre","Arsenic and Old Lace","June 26, 1904"
624,nm0000190,2015-08-13,2015-08-13,,"Matthew McConaughey","Interstellar","November 4, 1969"
625,nm0175916,2014-03-10,2014-03-10,,"Paddy Considine","Dead Man's Shoes","September 5, 1973"
626,nm0000202,2014-03-10,2014-03-10,,"Ryan Phillippe","Crash","September 10, 1974"
627,nm0913488,2014-03-10,2014-03-10,,"Kerry Washington","Scandal","January 31, 1977"
628,nm0005251,2014-03-10,2014-03-10,,"Carrie-Anne Moss","The Matrix","August 21, 1967"
629,nm0001463,2014-03-10,2014-03-10,,"Janet Leigh","Psycho","July 6, 1927"
630,nm1503432,2014-03-10,2014-03-10,,"Catalina Sandino Moreno","Maria Full of Grace","April 19"
631,nm0608090,2014-03-10,2014-03-10,,"Samantha Morton","Minority Report","May 13, 1977"
632,nm1095720,2014-03-10,2014-03-10,,"Keisha Castle-Hughes","FBI: Most Wanted","March 24, 1990"
633,nm0001766,2014-03-09,2014-03-09,,"Barbara Stanwyck","Double Indemnity","July 16, 1907"
634,nm0000260,2014-03-10,2014-03-10,,"Joan Allen","Room","August 20, 1956"
635,nm0005216,2014-03-10,2014-03-10,,"Janet McTeer","Albert Nobbs","August 5, 1961"
636,nm0005244,2014-03-10,2014-03-10,,"Fernanda Montenegro","Central do Brasil","October 16, 1929"
637,nm0000218,2014-03-10,2014-03-10,,"Kristin Scott Thomas","Gosford Park","May 24, 1960"
638,nm0000950,2014-03-10,2014-03-10,,"Brenda Blethyn","Pride & Prejudice","February 20, 1946"
639,nm0000223,2014-03-10,2014-03-10,,"Elisabeth Shue","Leaving Las Vegas","October 6, 1963"
640,nm0001669,2014-03-10,2014-03-10,,"Miranda Richardson","The Crying Game","March 3, 1958"
641,nm0000330,2014-03-10,2014-03-10,,"Stockard Channing","Practical Magic","February 13, 1944"
642,nm0707023,2014-03-09,2014-03-09,,"Luise Rainer","The Great Ziegfeld","January 12, 1910"
643,nm0001521,2014-03-10,2014-03-10,,"Mary McDonnell","Battlestar Galactica","April 28, 1952"
644,nm0000840,2017-09-16,2017-09-16,,"Lucille Ball","I Love Lucy","August 6, 1911"
645,nm0000368,2014-03-10,2014-03-10,,"Laura Dern","Jurassic Park","February 10, 1967"
646,nm0172604,2014-03-10,2014-03-10,,"Pauline Collins","Shirley Valentine","September 3, 1940"
647,nm0000254,2014-03-10,2014-03-10,,"Isabelle Adjani","Possession","June 27, 1955"
648,nm0000429,2014-03-10,2014-03-10,,"Melanie Griffith","Working Girl","August 9, 1957"
649,nm0000476,2014-03-10,2014-03-10,,"Sally Kirkland","Anna","October 31, 1941"
650,nm0000737,2014-03-10,2014-03-10,,"Jane Alexander","Kramer vs. Kramer","October 28, 1939"
651,nm0556850,2014-03-10,2014-03-10,,"Marsha Mason","The Goodbye Girl","April 3, 1942"
652,nm0383603,2014-03-10,2014-03-10,,"Freddie Highmore","Finding Neverland","February 14, 1992"
653,nm0000150,2014-03-10,2014-03-10,,"Michael J. Fox","Back to the Future","June 9, 1961"
654,nm0000237,2014-03-09,2014-03-09,,"John Travolta","Pulp Fiction","February 18, 1954"
655,nm0000334,2016-06-18,2016-06-18,,"Chow Yun-Fat","Ying hung boon sik","May 18, 1955"
656,nm0532235,2014-03-10,2014-03-10,,"Seth MacFarlane","Family Guy","October 26, 1973"
657,nm0001472,2014-03-10,2014-03-10,,"Jet Li","Huo Yuan Jia","April 26, 1963"
658,nm0002144,2014-03-10,2014-03-10,,"John Houseman","The Paper Chase","September 22, 1902"
659,nm0001569,2014-03-10,2014-03-10,,"Chuck Norris","Walker, Texas Ranger","March 10, 1940"
660,nm0000241,2014-03-10,2014-03-10,,"Jean-Claude Van Damme","Double Impact","October 18, 1960"
661,nm0005377,2014-03-10,2014-03-10,,"Sam Rockwell","Moon","November 5, 1968"
662,nm0793766,2014-03-10,2014-03-10,,"Takashi Shimura","Shichinin no samurai","March 12, 1905"
663,nm0001290,2014-03-10,2014-03-10,,"Richard E. Grant","Gosford Park","May 5, 1957"
664,nm0000558,2014-03-10,2014-03-10,,"Leslie Nielsen","Airplane!","February 11, 1926"
665,nm0670408,2014-03-10,2014-03-10,,"Simon Pegg","Shaun of the Dead","February 14, 1970"
666,nm0000518,2014-03-10,2014-03-10,,"John Malkovich","Being John Malkovich","December 9, 1953"
667,nm0788335,2014-03-10,2014-03-10,,"Michael Shannon","Take Shelter","August 7, 1974"
668,nm0000640,2014-03-10,2014-03-10,,"Martin Sheen","The Departed","August 3, 1940"
669,nm0001302,2014-03-10,2014-03-10,,"Christopher Guest","This Is Spinal Tap","February 5, 1948"
670,nm0000614,2014-03-10,2014-03-10,,"Alan Rickman","Die Hard","February 21, 1946"
671,nm0355097,2014-03-10,2014-03-10,,"Jackie Earle Haley","Watchmen","July 14, 1961"
672,nm0949574,2014-03-10,2014-03-10,,"Gig Young","They Shoot Horses, Don't They?","November 4, 1913"
673,nm0000652,2014-03-10,2014-03-10,,"James Spader","The Blacklist","February 7, 1960"
674,nm0051509,2014-03-10,2014-03-10,,"Eric Bana","Dirty John","August 9, 1968"
675,nm0244151,2014-03-10,2014-03-10,,"Romain Duris","De battre mon coeur s'est arrêté","May 28, 1974"
676,nm0001727,2014-03-10,2014-03-10,,"Robert Shaw","Jaws","August 9, 1927"
677,nm0915865,2014-03-10,2014-03-10,,"Jacki Weaver","Silver Linings Playbook","May 25, 1947"
678,nm0067367,2014-03-10,2014-03-10,,"Bérénice Bejo","The Artist","July 7, 1976"
679,nm2794962,2014-03-10,2014-03-10,,"Hailee Steinfeld","True Grit","December 11, 1996"
680,nm0000492,2016-06-18,2016-06-18,,"Jennifer Jason Leigh","The Hateful Eight","February 5, 1962"
681,nm0000599,2014-03-10,2014-03-10,,"Kathleen Quinlan","Apollo 13","November 19, 1954"
682,nm0378245,2014-03-10,2014-03-10,,"Taraji P. Henson","The Curious Case of Benjamin Button","September 11, 1970"
683,nm0752407,2014-03-10,2014-03-10,,"Amy Ryan","Gone Baby Gone","May 3, 1968"
684,nm0002039,2014-03-10,2014-03-10,,"Ruby Dee","American Gangster","October 27, 1922"
685,nm0001049,2014-03-10,2014-03-10,,"Jill Clayburgh","Bridesmaids","April 30, 1944"
686,nm0056770,2014-03-10,2014-03-10,,"Adriana Barraza","Babel","March 5, 1956"
687,nm0452860,2014-03-10,2014-03-10,,"Rinko Kikuchi","Babel","January 6, 1981"
688,nm0001416,2014-03-10,2014-03-10,,"Catherine Keener","Being John Malkovich","March 26, 1959"
689,nm0001648,2016-06-18,2016-06-18,,"Charlotte Rampling","45 Years","February 5, 1946"
690,nm0645683,2014-03-10,2014-03-10,,"Sophie Okonedo","Hotel Rwanda","August 11, 1968"
691,nm0165101,2014-03-10,2014-03-10,,"Patricia Clarkson","The Station Agent","December 29, 1959"
692,nm0013037,2014-03-10,2014-03-10,,"Shohreh Aghdashloo","House of Sand and Fog","May 11, 1952"
693,nm0517820,2014-03-10,2014-03-10,,"Lindsay Lohan","Mean Girls","July 2, 1986"
694,nm0005502,2014-03-10,2014-03-10,,"Michelle Trachtenberg","Buffy the Vampire Slayer","October 11, 1985"
695,nm0001721,2014-03-10,2014-03-10,,"Chloë Sevigny","We Are Who We Are","November 18, 1974"
696,nm0001655,2014-03-10,2014-03-10,,"Lynn Redgrave","Gods and Monsters","March 8, 1943"
697,nm0341737,2014-03-10,2014-03-10,,"Rachel Griffiths","Six Feet Under","December 18, 1968"
698,nm3053338,2014-03-10,2014-03-10,,"Margot Robbie","Suicide Squad","July 2, 1990"
699,nm0000666,2014-03-10,2014-03-10,,"Lili Taylor","American Crime","February 20, 1967"
700,nm0917848,2014-03-10,2014-03-10,,"Robin Weigert","Deadwood","July 7, 1969"
701,nm1128572,2014-03-10,2014-03-10,,"Lake Bell","In a World...","March 24, 1979"
702,nm0001647,2014-03-10,2014-03-10,,"Claude Rains","Casablanca","November 10, 1889"
703,nm0000114,2014-03-10,2014-03-10,,"Steve Buscemi","Fargo","December 13, 1957"
704,nm0722636,2016-06-18,2016-06-18,,"John Rhys-Davies","The Lord of the Rings: The Return of the King","May 5, 1944"
705,nm0004462,2014-03-10,2014-03-10,,"Jean-Louis Trintignant","Amour","December 11, 1930"
706,nm0001072,2014-03-10,2014-03-10,,"Joseph Cotten","Citizen Kane","May 15, 1905"
707,nm0001608,2014-03-10,2014-03-10,,"Barry Pepper","'Saving Private Ryan': Boot Camp","April 4, 1970"
708,nm0002233,2014-03-10,2014-03-10,,"Erich von Stroheim","Sunset Blvd.","September 22, 1885"
709,nm0933940,2016-06-18,2016-06-18,,"Patrick Wilson","The Phantom of the Opera","July 3, 1973"
710,nm0000502,2014-03-10,2014-03-10,,"Christopher Lloyd","Back to the Future","October 22, 1938"
711,nm0004936,2014-03-10,2014-03-10,,"Ben Foster","Hell or High Water","October 29, 1980"
712,nm0566948,2014-03-10,2014-03-10,,"Joel McCrea","Sullivan's Travels","November 5, 1905"
713,nm0158856,2014-03-10,2014-03-10,,"Choi Min-sik","Oldeuboi","January 22, 1962"
714,nm0000191,2014-03-10,2014-03-10,,"Ewan McGregor","Moulin Rouge!","March 31, 1971"
715,nm0305558,2014-03-10,2014-03-10,,"Gael García Bernal","Mozart in the Jungle","November 30, 1978"
716,nm0004486,2014-03-10,2014-03-10,,"Bruno Ganz","Der Untergang","March 22, 1941"
717,nm0000276,2014-03-10,2014-03-10,,"Sean Astin","The Lord of the Rings: The Two Towers","February 25, 1971"
718,nm0451234,2016-06-18,2016-06-18,,"Irrfan Khan","The Lunchbox","January 7, 1967"
719,nm0355910,2016-06-18,2016-06-18,,"Michael C. Hall","Dexter","February 1, 1971"
720,nm0001702,2014-03-10,2014-03-10,,"Roy Scheider","Jaws","November 10, 1932"
721,nm0000729,2014-03-10,2014-03-10,,"Casey Affleck","Manchester by the Sea","August 12, 1975"
722,nm0000997,2014-03-10,2014-03-10,,"Gary Busey","The Buddy Holly Story","June 29, 1944"
723,nm0005342,2016-06-18,2016-06-18,,"Norman Reedus","The Walking Dead: Daryl Dixon","January 6"
724,nm0001099,2014-03-10,2014-03-10,,"Jeff Daniels","The Squid and the Whale","February 19, 1955"
725,nm0001804,2014-03-10,2014-03-10,,"Stanley Tucci","Big Night","November 11, 1960"
726,nm0000662,2014-03-10,2014-03-10,,"Kiefer Sutherland","24","December 21, 1966"
727,nm0000706,2015-03-08,2015-03-08,,"Michelle Yeoh","Everything Everywhere All at Once","August 6, 1962"
728,nm2244205,2014-03-10,2014-03-10,,"Léa Seydoux","La vie d'Adèle","July 1, 1985"
729,nm0424848,2015-03-08,2015-03-08,,"Dakota Johnson","Fifty Shades of Grey","October 4, 1989"
730,nm0000365,2014-03-10,2014-03-10,,"Julie Delpy","Trois couleurs : Blanc","December 21, 1969"
731,nm0000157,2014-03-10,2014-03-10,,"Linda Hamilton","Terminator 2: Judgment Day","September 26, 1956"
732,nm0000402,2014-03-10,2014-03-10,,"Carrie Fisher","Star Wars","October 21, 1956"
733,nm0000427,2014-03-10,2014-03-10,,"Pam Grier","Jackie Brown","May 26, 1949"
734,nm0001951,2014-03-10,2014-03-10,,"Björk","Dancer in the Dark","November 21, 1965"
735,nm0115161,2014-03-10,2014-03-10,,"Emily Browning","A Series of Unfortunate Events","December 7, 1988"
736,nm0000496,2014-03-10,2014-03-10,,"Juliette Lewis","August: Osage County","June 21, 1973"
737,nm0000572,2014-03-10,2014-03-10,,"Sarah Jessica Parker","Sex and the City","March 25, 1965"
738,nm0001453,2014-03-10,2014-03-10,,"Piper Laurie","The Hustler","January 22, 1932"
739,nm1415323,2014-03-10,2014-03-10,,"Miley Cyrus","Hannah Montana","November 23, 1992"
740,nm0005499,2014-03-10,2014-03-10,,"Lily Tomlin","Nashville","September 1, 1939"
741,nm0005412,2019-11-09,2019-11-09,,"Jane Seymour","Somewhere in Time","February 15, 1951"
742,nm0001784,2014-03-10,2014-03-10,,"Gloria Stuart","Titanic","July 4, 1910"
743,nm0001735,2014-03-10,2014-03-10,,"Talia Shire","Rocky","April 25, 1946"
744,nm2933757,2017-09-16,2017-09-16,,"Gal Gadot","Wonder Woman","April 30, 1985"
745,nm0528987,2014-03-10,2014-03-10,,"Sue Lyon","Lolita","July 10, 1946"
746,nm0000556,2014-03-10,2014-03-10,,"Olivia Newton-John","Grease","September 26, 1948"
747,nm0000378,2014-03-10,2014-03-10,,"Minnie Driver","Circle of Friends","January 31, 1970"
748,nm0000414,2014-03-10,2014-03-10,,"Teri Garr","Tootsie","December 11, 1944"
749,nm0005392,2014-03-10,2014-03-10,,"Keri Russell","Mission: Impossible III","March 23, 1976"
750,nm0781029,2014-03-10,2014-03-10,,"Jean Seberg","Airport","November 13, 1938"
751,nm0001631,2014-03-10,2014-03-10,,"Sarah Polley","My Life Without Me","January 8, 1979"
752,nm0000982,2014-03-10,2014-03-10,,"Josh Brolin","Avengers: Endgame","February 12, 1968"
753,nm0001358,2014-03-10,2014-03-10,,"Hal Holbrook","Into the Wild","February 17, 1925"
754,nm0005023,2014-03-10,2014-03-10,,"Djimon Hounsou","Blood Diamond","April 24, 1964"
755,nm0000369,2014-03-10,2014-03-10,,"Matt Dillon","Crash","February 18, 1964"
756,nm0000257,2014-03-10,2014-03-10,,"Alan Alda","M*A*S*H","January 28, 1936"
757,nm0002006,2014-03-10,2014-03-10,,"Thomas Haden Church","Sideways","June 17, 1960"
758,nm0654110,2014-03-10,2014-03-10,,"Clive Owen","Closer","October 3, 1964"
759,nm0913822,2014-03-10,2014-03-10,,"Ken Watanabe","The Last Samurai","October 21, 1959"
760,nm4139037,2014-03-10,2014-03-10,,"Suraj Sharma","Life of Pi","March 21, 1993"
761,nm0000604,2014-03-10,2014-03-10,,"John C. Reilly","Chicago","May 24, 1965"
762,nm0003817,2014-03-10,2014-03-10,,"Michael Clarke Duncan","The Green Mile","December 10, 1957"
763,nm0005286,2014-03-10,2014-03-10,,"Haley Joel Osment","The Sixth Sense","April 10, 1988"
764,nm0001427,2014-03-10,2014-03-10,,"Greg Kinnear","As Good as It Gets","June 17, 1963"
765,nm0000608,2014-03-10,2014-03-10,,"Burt Reynolds","Boogie Nights","February 11, 1936"
766,nm0001233,2014-03-10,2014-03-10,,"Robert Forster","Jackie Brown","July 13, 1941"
767,nm0005403,2014-03-10,2014-03-10,,"Jason Schwartzman","Rushmore","June 26, 1980"
768,nm0000513,2014-03-10,2014-03-10,,"William H. Macy","Fargo","March 13, 1950"
769,nm0000090,2014-03-10,2014-03-10,,"Armin Mueller-Stahl","Eastern Promises","December 17, 1930"
770,nm0000619,2014-03-10,2014-03-10,,"Tim Roth","Rob Roy","May 14, 1961"
771,nm0000342,2014-03-10,2014-03-10,,"James Cromwell","L.A. Confidential","January 27, 1940"
772,nm0001590,2014-03-10,2014-03-10,,"Chazz Palminteri","The Usual Suspects","May 15, 1946"
773,nm0000641,2014-03-10,2014-03-10,,"Gary Sinise","Forrest Gump","March 17, 1955"
774,nm0006890,2014-03-10,2014-03-10,,"Paul Scofield","A Man for All Seasons","January 21, 1922"
775,nm0000592,2014-03-10,2014-03-10,,"Pete Postlethwaite","The Usual Suspects","February 7, 1946"
776,nm0915989,2014-03-09,2014-03-09,,"Hugo Weaving","The Lord of the Rings: The Return of the King","April 4, 1960"
777,nm0000586,2014-03-10,2014-03-10,,"Jada Pinkett Smith","The Matrix Revolutions","September 18, 1971"
778,nm0001575,2014-03-10,2014-03-10,,"Tatum O'Neal","Paper Moon","November 5, 1963"
779,nm0267506,2014-03-10,2014-03-10,,"Anna Faris","The House Bunny","November 29, 1976"
780,nm0567408,2014-03-09,2014-03-09,,"Hattie McDaniel","Gone with the Wind","June 10, 1893"
781,nm0000463,2014-03-10,2014-03-10,,"Famke Janssen","X-Men: The Last Stand","November 5, 1964"
782,nm0683253,2015-03-08,2015-03-08,,"Rosamund Pike","Gone Girl","January 27, 1979"
783,nm0001372,2014-03-10,2014-03-10,,"Bonnie Hunt","Jumanji","September 22, 1961"
784,nm0005182,2014-03-10,2014-03-10,,"Leslie Mann","Knocked Up","March 26, 1972"
785,nm1411676,2014-03-10,2014-03-10,,"Mindy Kaling","The Office","June 24, 1979"
786,nm0628601,2014-03-10,2014-03-10,,"Thandiwe Newton","Crash","November 6, 1972"
787,nm0688132,2019-03-19,2019-03-19,,"Amy Poehler","Inside Out","September 16, 1971"
788,nm0001605,2014-03-10,2014-03-10,,"Amanda Peet","2012","January 11, 1972"
789,nm0005466,2014-03-10,2014-03-10,,"Julia Stiles","10 Things I Hate About You","March 28, 1981"
790,nm0004742,2014-03-10,2014-03-10,,"Maria Bello","A History of Violence","April 18, 1967"
791,nm0578949,2014-03-10,2014-03-10,,"Eva Mendes","Hitch","March 5, 1974"
792,nm1289434,2014-03-10,2014-03-10,,"Emily Blunt","Edge of Tomorrow","February 23, 1983"
793,nm0126284,2014-03-10,2014-03-10,,"Rose Byrne","Spy","July 24, 1979"
794,nm0000171,2014-03-10,2014-03-10,,"Ashley Judd","Double Jeopardy","April 19, 1968"
795,nm3592338,2014-03-10,2014-03-10,,"Emilia Clarke","Game of Thrones","October 23, 1986"
796,nm0000775,2014-03-10,2014-03-10,,"Christina Applegate","Don't Tell Mom the Babysitter's Dead","November 25, 1971"
797,nm0000505,2014-03-10,2014-03-10,,"Nia Long","Big Momma's House","October 30, 1970"
798,nm0428065,2015-03-08,2015-03-08,,"Felicity Jones","Rogue One","October 17, 1983"
799,nm0000495,2014-03-10,2014-03-10,,"Téa Leoni","The Family Man","February 25, 1966"
800,nm1275259,2014-03-10,2014-03-10,,"Alexandra Daddario","Baywatch","March 16, 1986"
801,nm0540441,2014-03-10,2014-03-10,,"Jena Malone","The Neon Demon","November 21, 1984"
802,nm0000152,2014-03-10,2014-03-10,,"Richard Gere","Chicago","August 31, 1949"
803,nm0296545,2014-03-10,2014-03-10,,"Nick Frost","The World's End","March 28, 1972"
804,nm0000501,2014-03-10,2014-03-10,,"Ray Liotta","GoodFellas","December 18, 1954"
805,nm0001674,2014-03-10,2014-03-10,,"Chris Rock","Top Five","February 7, 1965"
806,nm0358316,2014-03-10,2014-03-10,,"Jon Hamm","Mad Men","March 10, 1971"
807,nm0000439,2014-03-10,2014-03-10,,"Neil Patrick Harris","A Series of Unfortunate Events","June 15, 1973"
808,nm0000221,2014-03-10,2014-03-10,,"Charlie Sheen","Two and a Half Men","September 3, 1965"
809,nm0753314,2016-06-18,2016-06-18,,"Mark Rylance","Bridge of Spies","January 18, 1960"
810,nm0000412,2014-03-10,2014-03-10,,"Andy Garcia","Ocean's Eleven","April 12, 1956"
811,nm0503627,2014-03-10,2014-03-10,,"Michael Lerner","Barton Fink","June 22, 1941"
812,nm0001295,2014-03-10,2014-03-10,,"Graham Greene","The Green Mile","June 22, 1952"
813,nm0001117,2014-03-10,2014-03-10,,"Bruce Davison","X-Men","June 28, 1946"
814,nm0000101,2014-03-10,2014-03-10,,"Dan Aykroyd","Ghostbusters","July 1, 1952"
815,nm0000732,2014-03-10,2014-03-10,,"Danny Aiello","Do the Right Thing","June 20, 1933"
816,nm0000203,2014-03-10,2014-03-10,,"River Phoenix","My Own Private Idaho","August 23, 1970"
817,nm0001777,2014-03-10,2014-03-10,,"Dean Stockwell","Quantum Leap","March 5, 1936"
818,nm0000345,2014-03-10,2014-03-10,,"Billy Crystal","Forget Paris","March 14, 1948"
819,nm0000422,2014-03-10,2014-03-10,,"John Goodman","10 Cloverfield Lane","June 20, 1952"
820,nm0089217,2014-03-10,2014-03-10,,"Orlando Bloom","The Lord of the Rings: The Fellowship of the Ring","January 13, 1977"
821,nm0001745,2014-03-10,2014-03-10,,"Stellan Skarsgård","Good Will Hunting","June 13"
822,nm0002907,2016-06-18,2016-06-18,,"Alexander Skarsgård","The Legend of Tarzan","August 25, 1976"
823,nm0000196,2014-03-10,2014-03-10,,"Mike Myers","Austin Powers in Goldmember","May 25, 1963"
824,nm0879085,2014-03-10,2014-03-10,,"Tyrese Gibson","Baby Boy","December 30, 1978"
825,nm0000704,2014-03-10,2014-03-10,,"Elijah Wood","The Lord of the Rings: The Fellowship of the Ring","January 28, 1981"
826,nm0000362,2014-03-10,2014-03-10,,"Danny DeVito","Matilda","November 17, 1944"
827,nm0001333,2014-03-09,2014-03-09,,"Susan Hayward","I Want to Live!","June 30, 1917"
828,nm0735442,2014-03-10,2014-03-10,,"Michelle Rodriguez","Fast & Furious 7","July 12, 1978"
829,nm0001264,2014-03-10,2014-03-10,,"Sarah Michelle Gellar","Buffy the Vampire Slayer","April 14, 1977"
830,nm0644897,2019-03-19,2019-03-19,,"Sandra Oh","Killing Eve","July 20, 1971"
831,nm0452288,2019-09-04,2019-09-04,,"Margot Kidder","Superman","October 17, 1948"
832,nm0461498,2014-03-10,2014-03-10,,"Beyoncé","Dreamgirls","September 4, 1981"
833,nm0356017,2014-03-10,2014-03-10,,"Rebecca Hall","Vicky Cristina Barcelona","May 3, 1982"
834,nm0005305,2014-03-10,2014-03-10,,"Piper Perabo","Coyote Ugly","October 31, 1976"
835,nm0001073,2014-03-10,2014-03-10,,"Courteney Cox","Friends","June 15, 1964"
836,nm0000205,2014-03-10,2014-03-10,,"Parker Posey","Scream 3","November 8, 1968"
837,nm1745736,2014-03-10,2014-03-10,,"Paula Patton","Precious","December 5, 1975"
838,nm1157358,2014-03-10,2014-03-10,,"Michelle Monaghan","Gone Baby Gone","March 23, 1976"
839,nm0000132,2014-03-10,2014-03-10,,"Claire Danes","My So-Called Life","April 12, 1979"
840,nm0005049,2019-03-19,2019-03-19,,"Allison Janney","The Help","November 19, 1959"
841,nm0098378,2014-03-10,2014-03-10,,"Kate Bosworth","Superman Returns","January 2, 1983"
